ECG1,ECG2,ECG3,ECG4,ECG5,ECG6,ECG7
-0.033878283671988134,-0.08985355905062947,0.07611461090540121,-0.042902837513230305,-0.2062934822597134,-0.0582046594067277,-0.21664925032532387
-0.03570207382072485,-0.08954828082055938,0.06916158070504622,-0.04944389512651636,-0.20492967705340354,-0.06514469753621378,-0.24214248081833167
-0.037083733024313274,-0.09031147639573461,0.05288516909966976,-0.05301913158595222,-0.2030993069080929,-0.0686474526298695,-0.2696233191124892
-0.04013719986424369,-0.09122731108594487,0.03376433604869355,-0.05362854689153788,-0.20141249520555177,-0.073263232706556,-0.29589430917986
-0.040593147401427866,-0.09168522843105001,0.01927885646462065,-0.05005331043210202,-0.19972568350301062,-0.08023600686495477,-0.3260540971190455
-0.04044116488903314,-0.09244842400622523,0.004740702409332947,-0.04944389512651636,-0.19807476141116181,-0.08544103546206934,-0.3564731382496853
-0.041657024988190954,-0.09046411551076965,-0.0016329086076591261,-0.046478073972666165,-0.19624439126585122,-0.08950030304724045,-0.3860280020754774
-0.04241693755016459,-0.0892430025904893,-0.006268262074562452,-0.040546431664965764,-0.19423457306707878,-0.09414881915283962,-0.4167062963975715
-0.042568920062559315,-0.09015883728069957,-0.01322129227491744,-0.032827171127547426,-0.19211708603622926,-0.09532731619369575,-0.4460019070319093
-0.043328832624532944,-0.09092203285587479,-0.02307141839208701,-0.030430137592243844,-0.19089683927268886,-0.0987973352584388,-0.47227289709928
-0.04668626448925282,-0.0906167546258047,-0.01843606492518368,-0.032827171127547426,-0.18888702107391642,-0.10400236385555336,-0.496556279365501
-0.04623031695206863,-0.09015883728069957,-0.010324196358102862,-0.030430137592243844,-0.18691309248583635,-0.10285660284360991,-0.5159138509940899
-0.04668626448925282,-0.0906167546258047,0.004740702409332947,-0.020313843519521924,-0.18493916389775628,-0.09938658377886686,-0.527666662340019
-0.04623031695206863,-0.09107467197090983,0.010534894242962105,-0.005484737750270919,-0.1829652353096762,-0.09414881915283962,-0.5364812708494657
-0.04837188871763069,-0.09183786754608506,0.007637798326147526,0.003453353398318727,-0.18081185866813432,-0.088354542035297,-0.5358763467360723
-0.04715602861847288,-0.09168522843105001,0.007637798326147526,0.007028589857754586,-0.1789814885228237,-0.07732250029172712,-0.5259383077303236
-0.04928378379199905,-0.09107467197090983,0.0035818640426071155,0.013569647471040645,-0.17668455343851236,-0.06108542995104268,-0.5081362552504605
-0.049587748816788506,-0.09122731108594487,-0.0016329086076591261,0.03018637147000958,-0.17410050146866207,-0.05064263672790087,-0.479099897807577
-0.05127337304516638,-0.09168522843105001,-0.011483034724828693,0.04387790200216735,-0.17227013132335148,-0.050086124236385476,-0.43779222263585593
-0.04973973132918323,-0.09199050666112009,-0.02017432247527243,0.04566552023188528,-0.16982963779627067,-0.04658336914272976,-0.3862008375364469
-0.05127337304516638,-0.09351689781147055,-0.019015484108546598,0.04209028377244943,-0.16724558582642038,-0.039054082492815605,-0.3190542609497789
-0.051881303094745285,-0.09214314577615514,-0.01611838819173202,0.04387790200216735,-0.16462564424587775,-0.031524795842901444,-0.2401548730171819
-0.05463080490988625,-0.09122731108594487,-0.019594903291909514,0.06053525368817533,-0.1620415922760275,-0.029789786310529923,-0.1478607368594452
-0.053705093243482,-0.0930589804663654,-0.022491999208724092,0.08251483237629806,-0.15960109874894668,-0.031524795842901444,-0.04061633332784293
-0.055694682496649335,-0.09351689781147055,-0.020753741658635347,0.10392562344587417,-0.15655048184009565,-0.03731907296044408,0.07786237516677974
-0.05599864752143879,-0.09290634135133036,-0.03239479979710847,0.11400128983155704,-0.1539664298702454,-0.04078909202518713,0.20843956592927051
-0.05630261254622824,-0.09275370223629532,-0.04282434509764096,0.12411758390427896,-0.15091581296139436,-0.041967589066043254,0.35154732761205326
-0.05599864752143879,-0.0933642586964355,-0.045721441014455536,0.14077493559028692,-0.1480087544953128,-0.04019984350475906,0.5027783559604045
-0.05691054259580715,-0.09412745427161072,-0.045142021831092616,0.15385705081685905,-0.14528114408269308,-0.03964333101324367,0.6619598155133549
-0.05920409687376393,-0.0947380107317509,-0.0555715671316251,0.16096689604869172,-0.14190752067761078,-0.04252410155755865,0.8279682757746023
-0.05874814933657975,-0.09397481515657567,-0.05035679448135886,0.17047377481582798,-0.1387133453259903,-0.04717261766315782,0.9976062807162102
-0.0584441843117903,-0.0933642586964355,-0.04282434509764096,0.18477472065357142,-0.13548328036367746,-0.05064263672790087,1.1689726402675134
-0.0584441843117903,-0.09351689781147055,-0.032974218980471384,0.1990350388042758,-0.13243266345482643,-0.049496875715957414,1.3395612402444537
-0.05996400943573756,-0.0933642586964355,-0.029497703880293893,0.20614488403610848,-0.1290949296604365,-0.04776186618358589,1.5075573083068508
-0.05874814933657975,-0.09412745427161072,-0.026547933492264503,0.20082265703399374,-0.12590075430881603,-0.04370259859841478,1.6681214515475575
-0.05950806189855338,-0.0947380107317509,-0.019594903291909514,0.19545980234483995,-0.122060565964733,-0.041967589066043254,1.8212536699665738
-0.05935607938615865,-0.09504328896182099,-0.017856645741820765,0.19606921765042562,-0.11872283217034306,-0.03964333101324367,1.9628923302311154
-0.06134566863932598,-0.09626440188210134,-0.02017432247527243,0.19009694765568616,-0.11488264382626001,-0.04078909202518713,2.090185647235185
-0.059660044410948104,-0.09534856719189107,-0.033553638163834304,0.1829871024238535,-0.11093478665009987,-0.04370259859841478,2.2026151145958734
-0.05920409687376393,-0.09366953692650558,-0.048039117747907194,0.18237768711826782,-0.10680748142047791,-0.046026856651214365,2.2967240230937906
-0.05981202692334284,-0.09412745427161072,-0.04688027938118137,0.18534350827211804,-0.1031467411298567,-0.046026856651214365,2.3692284989705144
-0.06164963366411544,-0.09489064984678594,-0.045142021831092616,0.19127515057981845,-0.09901943590023474,-0.04252410155755865,2.421597643644286
-0.06149765115172071,-0.0944327325016808,-0.04745969856454428,0.19306276880953638,-0.09489213067061276,-0.039054082492815605,2.4514981783920176
-0.05950806189855338,-0.09397481515657567,-0.05441272876489927,0.19249398119098976,-0.09123139037999155,-0.03614057591958795,2.4578930904478904
-0.059660044410948104,-0.0947380107317509,-0.0555715671316251,0.19960382642282243,-0.0866734098220612,-0.03614057591958795,2.443202076265479
-0.05981202692334284,-0.09534856719189107,-0.060786339781891345,0.20854191757141208,-0.08240254614966978,-0.03325980537527297,2.4070794649228446
-0.06195359868890489,-0.09534856719189107,-0.05499214794826218,0.20732308696024077,-0.0779881240345089,-0.03440556638721643,2.348056155001745
-0.06087590451010592,-0.0944327325016808,-0.05035679448135886,0.20732308696024077,-0.07353781230865566,-0.04137834054561519,2.2706258684873895
-0.061193686126931254,-0.09412745427161072,-0.048039117747907194,0.21089832341967663,-0.06836970836895512,-0.051821133768757,2.1749614408407463
-0.060571939485316466,-0.09366953692650558,-0.05383330958153636,0.21032953580113,-0.0640988446965637,-0.059350420418671154,2.0623591380190884
-0.06072392199771119,-0.0944327325016808,-0.04688027938118137,0.2031790628822583,-0.059038409588940244,-0.060528917459527286,1.9377447706600468
-0.05935607938615865,-0.0947380107317509,-0.03934782999746346,0.17998065358296425,-0.05401386409200916,-0.060528917459527286,1.802241769259924
-0.05950806189855338,-0.09550120630692611,-0.029497703880293893,0.16990498719728137,-0.049132877037847536,-0.0628204394834142,1.6578377416198697
-0.06087590451010592,-0.09565384542196116,-0.022491999208724092,0.17404901127526384,-0.0436417666019157,-0.06340968800384227,1.5099770047604244
-0.060267974460527014,-0.09397481515657567,-0.017277226558457853,0.1776242477346997,-0.038437773051522794,-0.0628204394834142,1.3584867232206188
-0.05996400943573756,-0.09366953692650558,-0.013800711458280357,0.17348022365671723,-0.03312611066905279,-0.06514469753621378,1.2072556948722675
-0.05950806189855338,-0.09504328896182099,-0.019015484108546598,0.15917927781897379,-0.027778558675890425,-0.06458818504469839,1.0599134643957309
-0.060267974460527014,-0.09534856719189107,-0.02423025675881284,0.14016552028470128,-0.02182088330095785,-0.06108542995104268,0.9158551076776157
-0.05814021928700084,-0.09534856719189107,-0.03181538061374556,0.11936414452071083,-0.015576091040486363,-0.056469649874356175,0.778796587128767
-0.05920409687376393,-0.09428009338664577,-0.03587131489728597,0.11164488398329249,-0.00961841566555379,-0.05123188524832893,0.6512440169332432
-0.05950806189855338,-0.09428009338664577,-0.03934782999746346,0.10152858991057058,-0.003983746786852503,-0.04137834054561519,0.532246802055712
-0.06011599194813229,-0.09458537161671585,-0.048039117747907194,0.09559694760287017,0.002296935084311353,-0.035584063428072556,0.42387896802780756
-0.05783625426221139,-0.09550120630692611,-0.063104016515343,0.09974097168085265,0.008541727344782844,-0.03614057591958795,0.32804170492019524
-0.0584441843117903,-0.09550120630692611,-0.08401578158762278,0.1086790628294423,0.015109526101485618,-0.03790832148087214,0.24231531627930122
-0.0584441843117903,-0.09580648453699621,-0.09270706933806652,0.12293938098014669,0.021964441743727314,-0.03731907296044408,0.16955158721112304
-0.05950806189855338,-0.09489064984678594,-0.09618358443824401,0.13959673266615466,0.028532240500430087,-0.03731907296044408,0.10879992268032819
-0.057988236774606114,-0.09412745427161072,-0.09096881178797778,0.15800107489484153,0.035710162638903066,-0.04137834054561519,0.056430778006556236
-0.060571939485316466,-0.09366953692650558,-0.08343636240425986,0.17823366304028537,0.0424215198383753,-0.050086124236385476,0.01650578652259149
-0.05950806189855338,-0.09504328896182099,-0.07995984730408237,0.1918845658854041,0.04959944197684828,-0.05470190431307198,-0.014518178721441727
-0.058596166824185024,-0.09550120630692611,-0.08749229668780027,0.19960382642282243,0.05738748749709146,-0.05064263672790087,-0.039233649640086576
-0.057988236774606114,-0.09626440188210134,-0.0845952007709857,0.20854191757141208,0.0647089680783339,-0.048907627195529345,-0.05504809431879988
-0.05950806189855338,-0.09626440188210134,-0.07822158975399363,0.2132953569549802,0.0721740071023458,-0.05064263672790087,-0.06654165247327458
-0.0590521143613692,-0.0947380107317509,-0.06542169324879467,0.2132953569549802,0.0802491695081279,-0.050086124236385476,-0.07388715956448022
-0.05950806189855338,-0.09366953692650558,-0.056150986314988015,0.21983641456826628,0.08836022152460236,-0.04717261766315782,-0.07717103332290157
-0.05783625426221139,-0.09458537161671585,-0.052674471214810524,0.2192269992626806,0.09596881899138372,-0.04717261766315782,-0.07786237516677974
-0.060267974460527014,-0.0944327325016808,-0.05499214794826218,0.20675429934169415,0.10422342945062764,-0.04776186618358589,-0.0776895397058102
-0.0584441843117903,-0.09397481515657567,-0.060206920598528425,0.1942815994207077,0.111832026917409,-0.044848359610358234,-0.07630685601805384
-0.05783625426221139,-0.09397481515657567,-0.06194517814861717,0.17998065358296425,0.11976363088042163,-0.04137834054561519,-0.07414641275593453
-0.059660044410948104,-0.09458537161671585,-0.06194517814861717,0.15682287197070927,0.1278746828968961,-0.03499481490764449,-0.07293656452914772
-0.061801616176510164,-0.0944327325016808,-0.05846866304843968,0.1419531385144192,0.1359498453026782,-0.029789786310529923,-0.07198596949381524
-0.06104170361453653,-0.09397481515657567,-0.052674471214810524,0.11818594159657855,0.14373789082292138,-0.02281701215213116,-0.07138104538042182
-0.05981202692334284,-0.09321161958140045,-0.05035679448135886,0.09084350821930204,0.15199250128216532,-0.0158442379937324,-0.07215880495478477
-0.060571939485316466,-0.09351689781147055,-0.05383330958153636,0.06882330184414027,0.15931398186340776,-0.01469847698178894,-0.07371432410351067
-0.06104170361453653,-0.0933642586964355,-0.060206920598528425,0.04745313846160321,0.16767626115472878,-0.017022735034588527,-0.07509700779126703
-0.06104170361453653,-0.09397481515657567,-0.06773936998224633,0.03258340500531317,0.17503363134666358,-0.02108200261975964,-0.0776895397058102
-0.06041995697292174,-0.09519592807685603,-0.0770627513872678,0.019501289778741045,0.1827857872562144,-0.025730518725358812,-0.08166475530810972
-0.06240954622608907,-0.09458537161671585,-0.08053926648744529,0.008816208087472514,0.19043027433368812,-0.030935547322473382,-0.08494862906653106
-0.06149765115172071,-0.09260106312126028,-0.08227752403753404,0.006419174552168928,0.1972851899759298,-0.03267055685484491,-0.08892384466883058
-0.062105581201299616,-0.09382217604154063,-0.08575403913771153,0.0028439380927330693,0.20521679393894243,-0.029200537790101858,-0.09410890849791691
-0.06072392199771119,-0.09519592807685603,-0.09502474607151819,-0.0006906706796637454,0.21253827452018487,-0.02628703121687421,-0.09782487090876212
-0.06041995697292174,-0.09489064984678594,-0.08807171587116319,-0.005484737750270919,0.2195726382158884,-0.029789786310529923,-0.101281580128153
-0.0631694587880627,-0.09458537161671585,-0.0776421705706307,-0.01023817713383905,0.22628399541536062,-0.03325980537527297,-0.10646664395723934
-0.06164963366411544,-0.09412745427161072,-0.06252459733198008,-0.012594582982103593,0.23392848249283435,-0.03267055685484491,-0.10957768225469114
-0.06164963366411544,-0.0947380107317509,-0.0445626026477297,-0.016169819441539453,0.24049628124953712,-0.030346298802045316,-0.11363931558747543
-0.060571939485316466,-0.09550120630692611,-0.03123596143038264,-0.02449849528454344,0.24702819039554755,-0.03325980537527297,-0.11700960707638154
-0.06195359868890489,-0.09656968011217143,-0.02307141839208701,-0.0310395528978295,0.2539189956484816,-0.04078909202518713,-0.11934288579947039
-0.06072392199771119,-0.09595912365203126,-0.025968514308901586,-0.03579299228139763,0.26002022946618364,-0.041967589066043254,-0.12279959501886129
-0.06134566863932598,-0.09565384542196116,-0.02538909512553867,-0.040546431664965764,0.2664085801694246,-0.039054082492815605,-0.12478720282001105
-0.060267974460527014,-0.09504328896182099,-0.023650837575449925,-0.04765627689679843,0.2725098139871266,-0.04078909202518713,-0.12556496239437398
-0.061801616176510164,-0.09519592807685603,-0.012641873091554526,-0.05005331043210202,0.27879049585829047,-0.046026856651214365,-0.12876241842231057
-0.060571939485316466,-0.09504328896182099,0.005899540776058779,-0.05541616512125581,0.28471228162253065,-0.04835111470401395,-0.13187345671976236
-0.05935607938615865,-0.09534856719189107,0.01517024770986543,-0.06252601035308848,0.2905263985546938,-0.05355614330112852,-0.1295401779966735
-0.06104170361453653,-0.09626440188210134,0.01111431342632502,-0.06195722273454187,0.2963405154868569,-0.06108542995104268,-0.13126853260636895
-0.06332144130045743,-0.09687495834224151,0.002423025675881284,-0.05956018919923828,0.3018316259227887,-0.06573394605664186,-0.1317006212587928
-0.06240954622608907,-0.0971802365723116,-0.0004740702409332947,-0.05716315566393469,0.3076098532442595,-0.0692039651213849,-0.13135495033685374
-0.06164963366411544,-0.09656968011217143,-0.0074271004412882835,-0.05301913158595222,0.3128138467946524,-0.07385248122698407,-0.13256479856364053
-0.0625615287384838,-0.09489064984678594,-0.01322129227491744,-0.048265692202384095,0.31783839229158345,-0.07732250029172712,-0.13230554537218622
-0.06240954622608907,-0.09458537161671585,-0.006847681257925368,-0.04233404989468369,0.32271937934574507,-0.08370602592969782,-0.1317006212587928
-0.06286549376327324,-0.09580648453699621,-0.006847681257925368,-0.02925193466811157,0.32821048978167694,-0.08720878102335354,-0.13213270991121667
-0.062105581201299616,-0.09519592807685603,-0.013800711458280357,-0.02153267413069324,0.33309147683583856,-0.08544103546206934,-0.13187345671976236
-0.06546301306601948,-0.09489064984678594,-0.008585938808014115,-0.01320399828768925,0.33768534700446123,-0.07444172974741214,-0.13092286168442988
-0.06438531888722052,-0.09519592807685603,-0.010324196358102862,-0.009628761828253393,0.3422433275623916,-0.06108542995104268,-0.13135495033685374
-0.06423333637482578,-0.09534856719189107,-0.015538969008369104,-0.004875322444685261,0.3466936392882448,-0.051821133768757,-0.13057719076249077
-0.06332144130045743,-0.09504328896182099,-0.019594903291909514,-0.0030877042149673323,0.35078505490717443,-0.05064263672790087,-0.1295401779966735
-0.06515904804123003,-0.0944327325016808,-0.01611838819173202,-0.007231728292949805,0.35505591857956587,-0.05064263672790087,-0.1298858489186126
-0.06515904804123003,-0.09382217604154063,-0.008006519624651199,-0.014382201211821523,0.35871665887018706,-0.05241038228918506,-0.12876241842231057
-0.06546301306601948,-0.09428009338664577,-0.009744777174739946,-0.01795743767125738,0.3625568472142701,-0.049496875715957414,-0.12737973473455422
-0.06392937135003633,-0.09428009338664577,-0.019594903291909514,-0.02153267413069324,0.3657510225658906,-0.044848359610358234,-0.12815749430891715
